time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Spine3.x,Spine3.y,Spine3.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb1.x,RightHandThumb1.y,RightHandThumb1.z,RightHandThumb2.x,RightHandThumb2.y,RightHandThumb2.z,RightHandThumb3.x,RightHandThumb3.y,RightHandThumb3.z,RightInHandIndex.x,RightInHandIndex.y,RightInHandIndex.z,RightHandIndex1.x,RightHandIndex1.y,RightHandIndex1.z,RightHandIndex2.x,RightHandIndex2.y,RightHandIndex2.z,RightHandIndex3.x,RightHandIndex3.y,RightHandIndex3.z,RightInHandMiddle.x,RightInHandMiddle.y,RightInHandMiddle.z,RightHandMiddle1.x,RightHandMiddle1.y,RightHandMiddle1.z,RightHandMiddle2.x,RightHandMiddle2.y,RightHandMiddle2.z,RightHandMiddle3.x,RightHandMiddle3.y,RightHandMiddle3.z,RightInHandRing.x,RightInHandRing.y,RightInHandRing.z,RightHandRing1.x,RightHandRing1.y,RightHandRing1.z,RightHandRing2.x,RightHandRing2.y,RightHandRing2.z,RightHandRing3.x,RightHandRing3.y,RightHandRing3.z,RightInHandPinky.x,RightInHandPinky.y,RightInHandPinky.z,RightHandPinky1.x,RightHandPinky1.y,RightHandPinky1.z,RightHandPinky2.x,RightHandPinky2.y,RightHandPinky2.z,RightHandPinky3.x,RightHandPinky3.y,RightHandPinky3.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb1.x,LeftHandThumb1.y,LeftHandThumb1.z,LeftHandThumb2.x,LeftHandThumb2.y,LeftHandThumb2.z,LeftHandThumb3.x,LeftHandThumb3.y,LeftHandThumb3.z,LeftInHandIndex.x,LeftInHandIndex.y,LeftInHandIndex.z,LeftHandIndex1.x,LeftHandIndex1.y,LeftHandIndex1.z,LeftHandIndex2.x,LeftHandIndex2.y,LeftHandIndex2.z,LeftHandIndex3.x,LeftHandIndex3.y,LeftHandIndex3.z,LeftInHandMiddle.x,LeftInHandMiddle.y,LeftInHandMiddle.z,LeftHandMiddle1.x,LeftHandMiddle1.y,LeftHandMiddle1.z,LeftHandMiddle2.x,LeftHandMiddle2.y,LeftHandMiddle2.z,LeftHandMiddle3.x,LeftHandMiddle3.y,LeftHandMiddle3.z,LeftInHandRing.x,LeftInHandRing.y,LeftInHandRing.z,LeftHandRing1.x,LeftHandRing1.y,LeftHandRing1.z,LeftHandRing2.x,LeftHandRing2.y,LeftHandRing2.z,LeftHandRing3.x,LeftHandRing3.y,LeftHandRing3.z,LeftInHandPinky.x,LeftInHandPinky.y,LeftInHandPinky.z,LeftHandPinky1.x,LeftHandPinky1.y,LeftHandPinky1.z,LeftHandPinky2.x,LeftHandPinky2.y,LeftHandPinky2.z,LeftHandPinky3.x,LeftHandPinky3.y,LeftHandPinky3.z
   0.00000,  28.11783,  94.54136, -56.10984,  18.74081,  94.16704, -55.96177,  19.65768,  52.36730, -58.20634,  20.74036,  10.53186, -56.89460,  37.06829,  91.83373, -56.91520,  39.43184,  50.16569, -60.27450,  39.79174,   8.29852, -60.60210,  30.03696, 108.40723, -53.15265,  30.07411, 117.95773, -51.35652,  29.78401, 127.91037, -49.54680,  28.98506, 137.45608, -47.90951,  28.18630, 147.68700, -46.30331,  27.50667, 157.03819, -44.97128,  25.28143, 144.09009, -47.22492,  13.08355, 147.95889, -46.93501, -13.09071, 143.81745, -46.85439, -39.06420, 144.13619, -47.98401, -41.17698, 147.32132, -46.81656, -44.27788, 147.93926, -44.92790, -46.60042, 148.03568, -43.86025, -41.95355, 146.61729, -47.73801, -46.99232, 148.29930, -47.66737, -50.51936, 148.39391, -46.86225, -52.19960, 148.00366, -45.75085, -42.22339, 145.60016, -48.37716, -47.28406, 146.69057, -48.65388, -51.15205, 146.65274, -47.85898, -53.18875, 146.11414, -46.55809, -42.28760, 144.84719, -48.84046, -46.88456, 145.19742, -49.51757, -50.26772, 145.01844, -48.90969, -52.23829, 144.42144, -47.70015, -42.20128, 143.85890, -49.30256, -46.37186, 143.60166, -50.23998, -49.08006, 143.22885, -49.88263, -50.51675, 142.68238, -49.06296,  31.62363, 144.46396, -46.45240,  41.57068, 147.95019, -39.19000,  66.66922, 145.12054, -31.17088,  92.47938, 147.82122, -29.57660,  92.74271, 150.83154, -26.96116,  94.01613, 151.30904, -23.53846,  95.25097, 151.40251, -21.30020,  94.04242, 150.47891, -27.32752,  97.60824, 152.66410, -24.05137,  99.94823, 152.96266, -21.30684, 100.76535, 152.50274, -19.48160,  94.85811, 149.69510, -27.81350,  98.77729, 151.40248, -24.88079, 101.42661, 151.61618, -21.96017, 102.45862, 151.00742, -19.79338,  95.34853, 149.09655, -28.24589,  99.29976, 150.14020, -26.00718, 101.70080, 150.20909, -23.54190, 102.74491, 149.55964, -21.49481,  95.77549, 148.25414, -28.79883,  99.67869, 148.73044, -27.10271, 101.72799, 148.59782, -25.26319, 102.55064, 148.03322, -23.83524
   0.00800,  28.11426,  94.53999, -56.10294,  18.73717,  94.16731, -55.95514,  19.65462,  52.36758, -58.19954,  20.73692,  10.53235, -56.88054,  37.06426,  91.83093, -56.90867,  39.43411,  50.16358, -60.27204,  39.79507,   8.29645, -60.60405,  30.03580, 108.40492, -53.14294,  30.07482, 117.95510, -51.34513,  29.78673, 127.90750, -49.53372,  28.98981, 137.45311, -47.89492,  28.19351, 147.68396, -46.28695,  27.51638, 157.03508, -44.95318,  25.28784, 144.08799, -47.20974,  13.08749, 147.94880, -46.91707, -13.08397, 143.78977, -46.83173, -39.06257, 144.18358, -47.81022, -41.15167, 147.42554, -46.76277, -44.23389, 148.13812, -44.87685, -46.54693, 148.29095, -43.79526, -41.93900, 146.68641, -47.64684, -46.96969, 148.39344, -47.60683, -50.48939, 148.53886, -46.77754, -52.16190, 148.20432, -45.63670, -42.21860, 145.64416, -48.23966, -47.27666, 146.74539, -48.52118, -51.13795, 146.75965, -47.69364, -53.16595, 146.28667, -46.35421, -42.28995, 144.87239, -48.66979, -46.89088, 145.21484, -49.32346, -50.26956, 145.07782, -48.68071, -52.23245, 144.54228, -47.43059, -42.21178, 143.86486, -49.08988, -46.39117, 143.58728, -49.98113, -49.09786, 143.24275, -49.58592, -50.52995, 142.73853, -48.73185,  31.62999, 144.46002, -46.43604,  41.57783, 147.94592, -39.17456,  66.68378, 145.19333, -31.15181,  92.46812, 148.06229, -29.43807,  92.71039, 151.13524, -26.89443,  93.95677, 151.69606, -23.47441,  95.17396, 151.84422, -21.22944,  94.01299, 150.77428, -27.24190,  97.55259, 153.03954, -23.99179,  99.87088, 153.40540, -21.23700, 100.67368, 152.99017, -19.39478,  94.83261, 149.97920, -27.70230,  98.72833, 151.75858, -24.78116, 101.35456, 152.04398, -21.84584, 102.36959, 151.48832, -19.65689,  95.32651, 149.37052, -28.11617,  99.25984, 150.46954, -25.87246, 101.64140, 150.59904, -23.39077, 102.66949, 149.99980, -21.32039,  95.75794, 148.51509, -28.64515,  99.64760, 149.03376, -26.93046, 101.68239, 148.94651, -25.07221, 102.49387, 148.41699, -23.62457
   0.01600,  28.10966,  94.53780, -56.10164,  18.73253,  94.16574, -55.95481,  19.65767,  52.36583, -58.19289,  20.74551,  10.53076, -56.87378,  37.05954,  91.82833, -56.90723,  39.43570,  50.16167, -60.27469,  39.80057,   8.29456, -60.60574,  30.03189, 108.40183, -53.13782,  30.07218, 117.95182, -51.33906,  29.78565, 127.90416, -49.52709,  28.99060, 137.44995, -47.88843,  28.19653, 147.68096, -46.28040,  27.52166, 157.03221, -44.94638,  25.29006, 144.08561, -47.20307,  13.08710, 147.93719, -46.89796, -13.08331, 143.77203, -46.79169, -39.06605, 144.24411, -47.61265, -41.13077, 147.53889, -46.68894, -44.19249, 148.34812, -44.80864, -46.49491, 148.55932, -43.71430, -41.92944, 146.76590, -47.53298, -46.95171, 148.49796, -47.52282, -50.46306, 148.69676, -46.66952, -52.12666, 148.42047, -45.50043, -42.21915, 145.70024, -48.07735, -47.27447, 146.81323, -48.36177, -51.12800, 146.88261, -47.50149, -53.14592, 146.47841, -46.12482, -42.29791, 144.91085, -48.47280, -46.90297, 145.24733, -49.10001, -50.27627, 145.15515, -48.42201, -52.23018, 144.68424, -47.13243, -42.22816, 143.88562, -48.84929, -46.41667, 143.59024, -49.69057, -49.12121, 143.27665, -49.25678, -50.54779, 142.81717, -48.36891,  31.63233, 144.45630, -46.42965,  41.58044, 147.94421, -39.16951,  66.71554, 145.42753, -31.16058,  92.47024, 148.47477, -29.31400,  92.69018, 151.60847, -26.84349,  93.90856, 152.25272, -23.42808,  95.10748, 152.45602, -21.17761,  93.99575, 151.24023, -27.17162,  97.50767, 153.58608, -23.94876,  99.80340, 154.02018, -21.18501, 100.59154, 153.65020, -19.32688,  94.81952, 150.43489, -27.60605,  98.69048, 152.28733, -24.69743, 101.29274, 152.64559, -21.74879, 102.29037, 152.14377, -19.53893,  95.31711, 149.81677, -28.00109,  99.23154, 150.97271, -25.75294, 101.59289, 151.16397, -23.25599, 102.60456, 150.61572, -21.16350,  95.75329, 148.94914, -28.50574,  99.62866, 149.51208, -26.77277, 101.64842, 149.47132, -24.89661, 102.44848, 148.97757, -23.43009
   0.02400,  28.10554,  94.53714, -56.09472,  18.72833,  94.16663, -55.94844,  19.65895,  52.36681, -58.18586,  20.74447,  10.53170, -56.86620,  37.05499,  91.82639, -56.90074,  39.42952,  50.15590, -60.22178,  39.79833,   8.28879, -60.54632,  30.03000, 108.39991, -53.12651,  30.07210, 117.94969, -51.32668,  29.78755, 127.90198, -49.51409,  28.99458, 137.44798, -47.87563,  28.20290, 147.67918, -46.26767,  27.53037, 157.03058, -44.93355,  25.29549, 144.08436, -47.18946,  13.08841, 147.92219, -46.87620, -13.08528, 143.77796, -46.76014, -39.07103, 144.35387, -47.39985, -41.10980, 147.69721, -46.60153, -44.14835, 148.60484, -44.72858, -46.43856, 148.87641, -43.62198, -41.92079, 146.89229, -47.40289, -46.93396, 148.65047, -47.41946, -50.43550, 148.90566, -46.54123, -52.08862, 148.69001, -45.34483, -42.22130, 145.80537, -47.89704, -47.27358, 146.93234, -48.18037, -51.11787, 147.06040, -47.28612, -53.12383, 146.72800, -45.87325, -42.30799, 144.99982, -48.25664, -46.91738, 145.33355, -48.85272, -50.28411, 145.28959, -48.13819, -52.22728, 144.88638, -46.81001, -42.24717, 143.95870, -48.58839, -46.44536, 143.64951, -49.37466, -49.14694, 143.37000, -48.90094, -50.56680, 142.95770, -47.97976,  31.63804, 144.45386, -46.41774,  41.58650, 147.94480, -39.15954,  66.73146, 145.50458, -31.15790,  92.45305, 148.73871, -29.17285,  92.64954, 151.93229, -26.77821,  93.83861, 152.66141, -23.36955,  95.01840, 152.92111, -21.11477,  93.95814, 151.55750, -27.08625,  97.44084, 153.98541, -23.89260,  99.71288, 154.48959, -21.12118, 100.48568, 154.16613, -19.24798,  94.78621, 150.74262, -27.49387,  98.63101, 152.66993, -24.59923, 101.20808, 153.10316, -21.63855, 102.18752, 152.65674, -19.40876,  95.28763, 150.11552, -27.86944,  99.18204, 151.33039, -25.61760, 101.52216, 151.58534, -23.10638, 102.51666, 151.08964, -20.99266,  95.72878, 149.23624, -28.34898,  99.58897, 149.84561, -26.59792, 101.59291, 149.85302, -24.70445, 102.38104, 149.39623, -23.21961
   0.03200,  28.10068,  94.53623, -56.08540,  18.72345,  94.16646, -55.93940,  19.65407,  52.36664, -58.17682,  20.74450,  10.53158, -56.85948,  37.04993,  91.82499, -56.89215,  39.44031,  50.15811, -60.24679,  39.81063,   8.29094, -60.56314,  30.02625, 108.39788, -53.11266,  30.06901, 117.94754, -51.31222,  29.78513, 127.89985, -49.49966,  28.99286, 137.44610, -47.86226,  28.20186, 147.67752, -46.25539,  27.52989, 157.02910, -44.92223,  25.29412, 144.08266, -47.17597,  13.08359, 147.90824, -46.84750, -13.09199, 143.77510, -46.77071, -39.07900, 144.45536, -47.23172, -41.09312, 147.84162, -46.56206, -44.10731, 148.84769, -44.70007, -46.38436, 149.18030, -43.58305, -41.91639, 147.00613, -47.31835, -46.92094, 148.78826, -47.36136, -50.41174, 149.10074, -46.45921, -52.05315, 148.94725, -45.23736, -42.22733, 145.89991, -47.76046, -47.27685, 147.03980, -48.04144, -51.11081, 147.22780, -47.11407, -53.10331, 146.96917, -45.66714, -42.32170, 145.07963, -48.08291, -46.93547, 145.41082, -48.64556, -50.29463, 145.41646, -47.89501, -52.22558, 145.08299, -46.53017, -42.26939, 144.02447, -48.36857, -46.47710, 143.70277, -49.09683, -49.17483, 143.45886, -48.58323, -50.58685, 143.09545, -47.62996,  31.63688, 144.45209, -46.40596,  41.58550, 147.94781, -39.15028,  66.74011, 145.58224, -31.15653,  92.42458, 149.01169, -29.02420,  92.59761, 152.26403, -26.70813,  93.75573, 153.07877, -23.30821,  94.91516, 153.39551, -21.05017,  93.90915, 151.88283, -26.99508,  97.36162, 154.39247, -23.83193,  99.60850, 154.96743, -21.05378, 100.36476, 154.69135, -19.16631,  94.74136, 151.05878, -27.37489,  98.55891, 153.06086, -24.49498, 101.10916, 153.56986, -21.52315, 102.06894, 153.17991, -19.27430,  95.24652, 150.42297, -27.73026,  99.11987, 151.69688, -25.47474, 101.43731, 152.01626, -22.94989, 102.41323, 151.57417, -20.81572,  95.69250, 149.53241, -28.18382,  99.53650, 150.18852, -26.41414, 101.52346, 150.24478, -24.50366, 102.29859, 149.82576, -23.00095
   0.04000,  28.09527,  94.53571, -56.07568,  18.71798,  94.16721, -55.93030,  19.64860,  52.36739, -58.16772,  20.73784,  10.53231, -56.85000,  37.04417,  91.82348, -56.88288,  39.43954,  50.15618, -60.22880,  39.81012,   8.28904, -60.54904,  30.02264, 108.39606, -53.09809,  30.06675, 117.94559, -51.29696,  29.78435, 127.89793, -49.48436,  28.99361, 137.44449, -47.84802,  28.20413, 147.67620, -46.24222,  27.53343, 157.02800, -44.91000,  25.29566, 144.08138, -47.16070,  13.08150, 147.89423, -46.81937, -13.09666, 143.77704, -46.77201, -39.08286, 144.57538, -47.05584, -41.07148, 148.00000, -46.51809, -44.05904, 149.10665, -44.67030, -46.32150, 149.50257, -43.54430, -41.90765, 147.13587, -47.22654, -46.90297, 148.94295, -47.29477, -50.38161, 149.31600, -46.36902, -52.00983, 149.22743, -45.12333, -42.22938, 146.01256, -47.61456, -47.27572, 147.16755, -47.89088, -51.09787, 147.41938, -46.93049, -53.07515, 147.23799, -45.45129, -42.33169, 145.17908, -47.89842, -46.94975, 145.51096, -48.42427, -50.30010, 145.56988, -47.63750, -52.21716, 145.30965, -46.23760, -42.28815, 144.11179, -48.13651, -46.50548, 143.78162, -48.80269, -49.19845, 143.57673, -48.24864, -50.60144, 143.26497, -47.26426,  31.63886, 144.45053, -46.39418,  41.58881, 147.95222, -39.14320,  66.75148, 145.65580, -31.15466,  92.39448, 149.29034, -28.86851,  92.54328, 152.60025, -26.63373,  93.66888, 153.50166, -23.24478,  94.80687, 153.87645, -20.98472,  93.85775, 152.21326, -26.89871,  97.27849, 154.80541, -23.76778,  99.49881, 155.45254, -20.98416, 100.23757, 155.22493, -19.08334,  94.69412, 151.38074, -27.24982,  98.48297, 153.45871, -24.38580, 101.00489, 154.04511, -21.40408, 101.94388, 153.71299, -19.13724,  95.20308, 150.73668, -27.58429,  99.05415, 152.07102, -25.32555, 101.34759, 152.45634, -22.78803, 102.30383, 152.06922, -20.63436,  95.65398, 149.83542, -28.01105,  99.48074, 150.53987, -26.22266, 101.44967, 150.64632, -24.29574, 102.21103, 150.26613, -22.77575
   0.04800,  28.09013,  94.53505, -56.06567,  18.71284,  94.16655, -55.92029,  19.64775,  52.36695, -58.15993,  20.73922,  10.53201, -56.83953,  37.03903,  91.82282, -56.87287,  39.44102,  50.15623, -60.22291,  39.81446,   8.28908, -60.53775,  30.01750, 108.39541, -53.08808,  30.06166, 117.94509, -51.28775,  29.77933, 127.89762, -49.47619,  28.98871, 137.44441, -47.84118,  28.19954, 147.67633, -46.23660,  27.52932, 157.02830, -44.90528,  25.29076, 144.08120, -47.15280,  13.07392, 147.88421, -46.79817, -13.10355, 143.76234, -46.78668, -39.08699, 144.68223, -46.90809, -41.05277, 148.13845, -46.50547, -44.01494, 149.34386, -44.67872, -46.26329, 149.80266, -43.54831, -41.90072, 147.24768, -47.16526, -46.88746, 149.07694, -47.26329, -50.35415, 149.51044, -46.31921, -51.96942, 149.48722, -45.05388, -42.23212, 146.10972, -47.49858, -47.27534, 147.27842, -47.77437, -51.08574, 147.59425, -46.78661, -53.04802, 147.49078, -45.28018, -42.34159, 145.26481, -47.74327, -46.96329, 145.59763, -48.23547, -50.30474, 145.71032, -47.41731, -52.20803, 145.52419, -45.98715, -42.30588, 144.18760, -47.93316, -46.53165, 143.85054, -48.53970, -49.21955, 143.68558, -47.94890, -50.61350, 143.42636, -46.93684,  31.63438, 144.45085, -46.39001,  41.58601, 147.95894, -39.14444,  66.75459, 145.72187, -31.15769,  92.35130, 149.57312, -28.71296,  92.47486, 152.93766, -26.55973,  93.56627, 153.92432, -23.18337,  94.68167, 154.35651, -20.92229,  93.79225, 152.54585, -26.80214,  97.17953, 155.21917, -23.70326,  99.37181, 155.93797, -20.91500, 100.09212, 155.75853, -19.00198,  94.63286, 151.70591, -27.12427,  98.39136, 153.85905, -24.27584, 100.88333, 154.52241, -21.28508, 101.80038, 154.24784, -19.00162,  95.14572, 151.05437, -27.43766,  98.97312, 152.44916, -25.17520, 101.24118, 152.90021, -22.62573, 102.17664, 152.56786, -20.45387,  95.60168, 150.14336, -27.83747,  99.41001, 150.89675, -26.02980, 101.35985, 151.05345, -24.08695, 102.10664, 150.71205, -22.55062
   0.05600,  28.08556,  94.53439, -56.05744,  18.70826,  94.16590, -55.91206,  19.64349,  52.36653, -58.15595,  20.73366,  10.53167, -56.83194,  37.03446,  91.82217, -56.86464,  39.44012,  50.15678, -60.22697,  39.81311,   8.28957, -60.53410,  30.01293, 108.39475, -53.07986,  30.05787, 117.94457, -51.28031,  29.77657, 127.89732, -49.46976,  28.98726, 137.44444, -47.83601,  28.19963, 147.67666, -46.23260,  27.53093, 157.02886, -44.90216,  25.29010, 144.08154, -47.14650,  13.07078, 147.87552, -46.78068, -13.10697, 143.75539, -46.79526, -39.08541, 144.81302, -46.74854, -41.02709, 148.29569, -46.47879, -43.96163, 149.59933, -44.67505, -46.19445, 150.12174, -43.54150, -41.88741, 147.38162, -47.08881, -46.86460, 149.23514, -47.21330, -50.31792, 149.73142, -46.25131, -51.91890, 149.77444, -44.96846, -42.22894, 146.23199, -47.36737, -47.26831, 147.41805, -47.63936, -51.06549, 147.80082, -46.62469, -53.01118, 147.77653, -45.09359, -42.34590, 145.37771, -47.57292, -46.97093, 145.71651, -48.02846, -50.30224, 145.88594, -47.17933, -52.19027, 145.77531, -45.72137, -42.31839, 144.29292, -47.71496, -46.55257, 143.95500, -48.25921, -49.23451, 143.83295, -47.63203, -50.61837, 143.62757, -46.59409,  31.63420, 144.45095, -46.38754,  41.58688, 147.96550, -39.14654,  66.76267, 145.79236, -31.16487,  92.30781, 149.87254, -28.55757,  92.40419, 153.28797, -26.48454,  93.46022, 154.35740, -23.12216,  94.55230, 154.84583, -20.86115,  93.72459, 152.89301, -26.70441,  97.07627, 155.64642, -23.63710,  99.23943, 156.43610, -20.84527,  99.94095, 156.30397, -18.92144,  94.56980, 152.04723, -26.99794,  98.29606, 154.27532, -24.16483, 100.75697, 155.01502, -21.16628, 101.65169, 154.79704, -18.86790,  95.08686, 151.38937, -27.29050,  98.88915, 152.84541, -25.02430, 101.13093, 153.36185, -22.46401, 102.04526, 153.08347, -20.27562,  95.54834, 150.46991, -27.66380,  99.33718, 151.27381, -25.83703, 101.26728, 151.48082, -23.87925, 101.99931, 151.17780, -22.32784
   0.06400,  28.08180,  94.53352, -56.05042,  18.70451,  94.16502, -55.90504,  19.64448,  52.36670, -58.16646,  20.73620,  10.53199, -56.83917,  37.03070,  91.82129, -56.85762,  39.43433,  50.15478, -60.20751,  39.80766,   8.28752, -60.50745,  30.00917, 108.39387, -53.07283,  30.05469, 117.94375, -51.27357,  29.77415, 127.89658, -49.46338,  28.98582, 137.44385, -47.83009,  28.19980, 147.67620, -46.22667,  27.53311, 157.02848, -44.89577,  25.28959, 144.08138, -47.13954,  13.06755, 147.86546, -46.76218, -13.10918, 143.73927, -46.81844, -39.08082, 144.93723, -46.62139, -40.99921, 148.44048, -46.48369, -43.90698, 149.83975, -44.70849, -46.12469, 150.42498, -43.57595, -41.87121, 147.50617, -47.04448, -46.83853, 149.38378, -47.19861, -50.27860, 149.94313, -46.22384, -51.86575, 150.05195, -44.92775, -42.22235, 146.34769, -47.26921, -47.25729, 147.55246, -47.54098, -51.04130, 148.00286, -46.50512, -52.97092, 148.05741, -44.95457, -42.34645, 145.48603, -47.43615, -46.97394, 145.83378, -47.85863, -50.29511, 146.06091, -46.98363, -52.16834, 146.02565, -45.50299, -42.32676, 144.39594, -47.53109, -46.56832, 144.06130, -48.01673, -49.24419, 143.98350, -47.35740, -50.61825, 143.83215, -46.29740,  31.63397, 144.45012, -46.38264,  41.58771, 147.96971, -39.14555,  66.77017, 145.85959, -31.16800,  92.25661, 150.18661, -28.38989,  92.32285, 153.64861, -26.39438,  93.34137, 154.79727, -23.04659,  94.40879, 155.34010, -20.78621,  93.64646, 153.25244, -26.59162,  96.95923, 156.08432, -23.55364,  99.09142, 156.94340, -20.75847,  99.77337, 156.85706, -18.82503,  94.49681, 152.40255, -26.85711,  98.18791, 154.70496, -24.03743, 100.61583, 155.51962, -21.03141, 101.48732, 155.35652, -18.71959,  95.01854, 151.73964, -27.12927,  98.79349, 153.25752, -24.85794, 101.00739, 153.83837, -22.28721, 101.89978, 153.61245, -20.08377,  95.48620, 150.81322, -27.47676,  99.25391, 151.66908, -25.62999, 101.16316, 151.92600, -23.65773, 101.87990, 151.66042, -22.09238
   0.07200,  28.07712,  94.53350, -56.04212,  18.69983,  94.16500, -55.89674,  19.63942,  52.36689, -58.16202,  20.73290,  10.53229, -56.83247,  37.02602,  91.82127, -56.84932,  39.42811,  50.15422, -60.19351,  39.80114,   8.28697, -60.49509,  30.00449, 108.39386, -53.06454,  30.05139, 117.94379, -51.26564,  29.77264, 127.89676, -49.45592,  28.98659, 137.44432, -47.82320,  28.20307, 147.67693, -46.22019,  27.53872, 157.02940, -44.88947,  25.29183, 144.08253, -47.13145,  13.06673, 147.85568, -46.74374, -13.11183, 143.74117, -46.80702, -39.07405, 145.10128, -46.47072, -40.96770, 148.62063, -46.45930, -43.84778, 150.11263, -44.71470, -46.04982, 150.75984, -43.58533, -41.85158, 147.67007, -46.97212, -46.80768, 149.57458, -47.15438, -50.23379, 150.19800, -46.16934, -51.80679, 150.37157, -44.86310, -42.21267, 146.50577, -47.14508, -47.24205, 147.73365, -47.41630, -51.01216, 148.25317, -46.36228, -52.92535, 148.38544, -44.79614, -42.34417, 145.63883, -47.27489, -46.97336, 146.00134, -47.66521, -50.28378, 146.28787, -46.76726, -52.14191, 146.32713, -45.26780, -42.33267, 144.54563, -47.32474, -46.58111, 144.22103, -47.75370, -49.25053, 144.18942, -47.06503, -50.61460, 144.09176, -45.98599,  31.63661, 144.45025, -46.37750,  41.59072, 147.97477, -39.14331,  66.77927, 145.92666, -31.16885,  92.19989, 150.51467, -28.21209,  92.23367, 154.01890, -26.29085,  93.21355, 155.24279, -22.95823,  94.25566, 155.83784, -20.69918,  93.56059, 153.62339, -26.46592,  96.83207, 156.53177, -23.45559,  98.93227, 157.45834, -20.65777,  99.59446, 157.41597, -18.71601,  94.41653, 152.77109, -26.70433,  98.07038, 155.14682, -23.89698, 100.46426, 156.03457, -20.88437, 101.31231, 155.92426, -18.56075,  94.94331, 152.10439, -26.95681,  98.68935, 153.68432, -24.67994, 100.87452, 154.32820, -22.09966, 101.74482, 154.15284, -19.88282,  95.41769, 151.17243, -27.27948,  99.16314, 152.08136, -25.41290, 101.05099, 152.38745, -23.42710, 101.75238, 152.15812, -21.84913
   0.08000,  28.06760,  94.53265, -56.03566,  18.69030,  94.16416, -55.89028,  19.62908,  52.36601, -58.15531,  20.72364,  10.53153, -56.82291,  37.01650,  91.82043, -56.84286,  39.42011,  50.15399, -60.19358,  39.79483,   8.28672, -60.49077,  29.99497, 108.39301, -53.05807,  30.04343, 117.94321, -51.26059,  29.76673, 127.89657, -49.45270,  28.98332, 137.44474, -47.82230,  28.20261, 147.67791, -46.22152,  27.54080, 157.03082, -44.89262,  25.29018, 144.08381, -47.13016,  13.06219, 147.84637, -46.73092, -13.11615, 143.73062, -46.80564, -39.07013, 145.21499, -46.37288, -40.93944, 148.74571, -46.48046, -43.79227, 150.32500, -44.76824, -45.97883, 151.03141, -43.64428, -41.83471, 147.78237, -46.94765, -46.77919, 149.71410, -47.15731, -50.19129, 150.39996, -46.16517, -51.75039, 150.63541, -44.85198, -42.20542, 146.61488, -47.07185, -47.22866, 147.86757, -47.34342, -50.98478, 148.45478, -46.27509, -52.88182, 148.66151, -44.69741, -42.34409, 145.74453, -47.16664, -46.97424, 146.12501, -47.52734, -50.27382, 146.47004, -46.61021, -52.11708, 146.58085, -45.09606, -42.34056, 144.65016, -47.17408, -46.59507, 144.33983, -47.55026, -49.25787, 144.35422, -46.83589, -50.61211, 144.30834, -45.74113,  31.63547, 144.45055, -46.37997,  41.58982, 147.97911, -39.14808,  66.78698, 145.99856, -31.18376,  92.13465, 150.86109, -28.04503,  92.13402, 154.40425, -26.19629,  93.07185, 155.70032, -22.87889,  94.08628, 156.34582, -20.62109,  93.46426, 154.01037, -26.34831,  96.69102, 156.99282, -23.36227,  98.75619, 157.98496, -20.56086,  99.39663, 157.98517, -18.61137,  94.32593, 153.15666, -26.55949,  97.93926, 155.60388, -23.76111, 100.29582, 156.56278, -20.74088, 101.11806, 156.50366, -18.40615,  94.85795, 152.48696, -26.79225,  98.57234, 154.12797, -24.50674, 100.72596, 154.83335, -21.91604, 101.57188, 154.70706, -19.68646,  95.33933, 151.55040, -27.09029,  99.06019, 152.51211, -25.20112, 100.92443, 152.86636, -23.20108, 101.60886, 152.67231, -21.61096
